date,periodName,geo,شهادة,استشهاد,شهيد,جهاد,كافر,كفار,سورة الفاتحة,الأقصى,سورة الانفال,في سبيل الله,وضوء,عملية,صلاة,مكة,ركعة,صوم
21/05/2012 00:00,טרור עממי,IL,67,100,79,51,0,70,0,0,0,0,0,27,46,0,0,0
22/05/2012 00:00,טרור עממי,IL,0,0,0,0,0,70,0,0,0,0,0,14,15,21,98,0
23/05/2012 00:00,טרור עממי,IL,0,0,0,0,0,0,0,0,0,0,0,14,16,0,100,83
24/05/2012 00:00,טרור עממי,IL,0,0,84,0,0,0,0,0,0,0,0,44,33,0,0,0
25/05/2012 00:00,טרור עממי,IL,0,0,100,0,0,0,0,89,0,0,0,0,58,26,0,0
26/05/2012 00:00,טרור עממי,IL,0,0,0,0,0,100,0,100,0,100,0,58,65,29,0,0
27/05/2012 00:00,טרור עממי,IL,41,0,0,0,0,0,0,0,0,0,0,51,38,25,0,0
28/05/2012 00:00,טרור עממי,IL,0,0,0,0,0,0,0,0,0,0,0,65,29,20,0,0
29/05/2012 00:00,טרור עממי,IL,0,0,0,0,0,0,0,0,0,0,0,54,45,20,0,0
30/05/2012 00:00,טרור עממי,IL,0,0,79,50,0,0,0,0,0,0,0,41,31,21,0,0
31/05/2012 00:00,טרור עממי,IL,0,0,0,0,0,0,0,0,0,71,0,98,47,21,100,0
01/06/2012 00:00,טרור עממי,IL,0,0,0,0,0,0,0,0,0,86,0,100,19,0,0,100
02/06/2012 00:00,טרור עממי,IL,0,0,98,0,0,87,0,0,0,0,0,17,57,77,0,0
03/06/2012 00:00,טרור עממי,IL,32,0,77,49,0,0,0,0,0,0,0,27,15,0,0,0
04/06/2012 00:00,טרור עממי,IL,33,0,0,0,0,68,0,0,0,0,0,80,75,40,0,0
05/06/2012 00:00,טרור עממי,IL,100,0,0,0,0,70,100,0,0,0,0,55,31,21,0,0
06/06/2012 00:00,טרור עממי,IL,0,0,80,0,0,0,0,0,0,71,0,69,31,21,0,0
07/06/2012 00:00,טרור עממי,IL,0,51,81,0,0,0,0,0,0,72,0,56,63,63,0,0
08/06/2012 00:00,טרור עממי,IL,40,60,0,0,0,0,0,0,0,0,0,50,74,100,0,0
09/06/2012 00:00,טרור עממי,IL,83,0,0,63,0,88,0,0,0,0,0,68,19,51,0,0
10/06/2012 00:00,טרור עממי,IL,0,0,74,0,0,66,0,0,0,0,0,26,100,58,0,0
11/06/2012 00:00,טרור עממי,IL,0,49,78,99,0,0,0,0,0,0,0,27,30,61,0,0
12/06/2012 00:00,טרור עממי,IL,0,0,0,0,0,0,0,0,0,0,0,27,31,0,0,0
13/06/2012 00:00,טרור עממי,IL,0,0,0,51,0,0,0,0,0,0,0,28,47,0,0,0
14/06/2012 00:00,טרור עממי,IL,34,0,81,52,0,0,0,0,0,0,0,28,31,21,0,0
15/06/2012 00:00,טרור עממי,IL,0,0,0,61,0,0,0,0,0,0,0,0,37,0,0,0
16/06/2012 00:00,טרור עממי,IL,42,0,0,0,0,0,0,0,0,0,100,52,58,0,0,0
17/06/2012 00:00,טרור עממי,IL,32,0,0,48,0,66,0,0,0,0,0,26,14,39,0,0
18/06/2012 00:00,טרור עממי,IL,98,0,77,0,0,0,0,0,0,0,0,27,15,0,0,0
19/06/2012 00:00,טרור עממי,IL,66,0,0,100,0,0,0,0,0,0,0,41,15,0,0,0
20/06/2012 00:00,טרור עממי,IL,34,0,0,0,0,71,0,0,0,71,0,28,46,42,0,0
21/06/2012 00:00,טרור עממי,IL,34,0,82,52,0,0,0,72,0,0,82,71,32,0,0,0
01/01/2014 00:00,לאחר טרור עממי,IL,0,100,0,21,0,0,0,100,0,0,0,44,54,0,84,0
02/01/2014 00:00,לאחר טרור עממי,IL,0,0,0,64,0,52,36,50,0,43,0,44,39,28,0,0
03/01/2014 00:00,לאחר טרור עממי,IL,0,0,100,53,0,0,0,0,0,0,0,55,58,0,0,0
04/01/2014 00:00,לאחר טרור עממי,IL,0,0,0,49,0,0,0,58,100,100,0,0,63,32,0,0
05/01/2014 00:00,לאחר טרור עממי,IL,0,0,0,0,0,0,33,0,79,0,0,27,43,25,0,0
06/01/2014 00:00,לאחר טרור עממי,IL,27,0,0,0,0,0,0,96,0,0,40,43,53,27,0,0
07/01/2014 00:00,לאחר טרור עממי,IL,0,0,0,42,0,0,35,0,84,0,0,29,38,0,0,0
08/01/2014 00:00,לאחר טרור עממי,IL,0,0,0,21,0,0,0,0,0,0,0,15,23,28,0,0
09/01/2014 00:00,לאחר טרור עממי,IL,0,0,0,21,0,0,0,0,0,0,0,29,69,0,0,52
10/01/2014 00:00,לאחר טרור עממי,IL,0,0,65,52,0,0,0,0,0,0,0,36,57,0,0,0
11/01/2014 00:00,לאחר טרור עממי,IL,0,0,30,96,0,0,0,0,0,0,0,100,62,31,47,0
12/01/2014 00:00,לאחר טרור עממי,IL,0,0,73,19,0,0,0,0,0,0,0,40,43,50,0,0
13/01/2014 00:00,לאחר טרור עממי,IL,81,96,26,0,0,0,0,0,0,0,0,42,67,53,0,100
14/01/2014 00:00,לאחר טרור עממי,IL,27,0,0,60,0,0,0,0,0,0,0,28,59,26,0,0
15/01/2014 00:00,לאחר טרור עממי,IL,0,0,26,0,0,0,0,0,0,0,0,72,53,27,41,0
16/01/2014 00:00,לאחר טרור עממי,IL,0,0,0,21,0,0,0,50,0,0,0,29,39,0,41,0
17/01/2014 00:00,לאחר טרור עממי,IL,34,0,0,26,0,63,0,60,0,0,100,36,85,33,51,0
18/01/2014 00:00,לאחר טרור עממי,IL,100,0,31,100,0,0,43,0,0,51,49,17,73,32,0,0
19/01/2014 00:00,לאחר טרור עממי,IL,0,0,25,40,100,0,0,46,0,40,0,82,22,0,0,0
20/01/2014 00:00,לאחר טרור עממי,IL,27,96,0,0,0,0,0,0,0,0,0,42,45,26,0,0
21/01/2014 00:00,לאחר טרור עממי,IL,0,0,0,21,0,0,0,0,0,0,0,29,23,27,41,0
