day,periodName,score
2021-07-11,מהומות בנגב על רקע נטיעות קקל,6
2021-07-12,מהומות בנגב על רקע נטיעות קקל,6
2021-07-13,מהומות בנגב על רקע נטיעות קקל,0
2021-07-14,מהומות בנגב על רקע נטיעות קקל,0
2021-07-15,מהומות בנגב על רקע נטיעות קקל,4
2021-07-16,מהומות בנגב על רקע נטיעות קקל,0
2021-07-17,מהומות בנגב על רקע נטיעות קקל,6
2021-07-18,מהומות בנגב על רקע נטיעות קקל,2
2021-07-19,מהומות בנגב על רקע נטיעות קקל,9
2021-07-20,מהומות בנגב על רקע נטיעות קקל,3
2021-07-21,מהומות בנגב על רקע נטיעות קקל,0
2021-07-22,מהומות בנגב על רקע נטיעות קקל,0
2021-07-23,מהומות בנגב על רקע נטיעות קקל,2
2021-07-24,מהומות בנגב על רקע נטיעות קקל,1
2021-07-25,מהומות בנגב על רקע נטיעות קקל,1
2021-07-26,מהומות בנגב על רקע נטיעות קקל,0
2021-07-27,מהומות בנגב על רקע נטיעות קקל,2
2021-07-28,מהומות בנגב על רקע נטיעות קקל,0
2021-07-29,מהומות בנגב על רקע נטיעות קקל,1
2021-07-30,מהומות בנגב על רקע נטיעות קקל,0
2021-07-31,מהומות בנגב על רקע נטיעות קקל,6
2021-08-01,מהומות בנגב על רקע נטיעות קקל,0
2021-08-02,מהומות בנגב על רקע נטיעות קקל,1
2021-08-03,מהומות בנגב על רקע נטיעות קקל,10
2021-08-04,מהומות בנגב על רקע נטיעות קקל,6
2021-08-05,מהומות בנגב על רקע נטיעות קקל,4
2021-08-06,מהומות בנגב על רקע נטיעות קקל,2
2021-08-07,מהומות בנגב על רקע נטיעות קקל,0
2021-08-08,מהומות בנגב על רקע נטיעות קקל,1
2021-08-09,מהומות בנגב על רקע נטיעות קקל,1
2021-08-10,מהומות בנגב על רקע נטיעות קקל,1
2021-08-11,מהומות בנגב על רקע נטיעות קקל,3
2021-08-12,מהומות בנגב על רקע נטיעות קקל,2
2021-08-13,מהומות בנגב על רקע נטיעות קקל,4
2021-08-14,מהומות בנגב על רקע נטיעות קקל,4
2021-08-15,מהומות בנגב על רקע נטיעות קקל,0
2021-08-16,מהומות בנגב על רקע נטיעות קקל,1
2021-08-17,מהומות בנגב על רקע נטיעות קקל,5
2021-08-18,מהומות בנגב על רקע נטיעות קקל,6
2021-08-19,מהומות בנגב על רקע נטיעות קקל,1
2021-08-20,מהומות בנגב על רקע נטיעות קקל,1
2021-08-21,מהומות בנגב על רקע נטיעות קקל,1
2021-08-22,מהומות בנגב על רקע נטיעות קקל,0
2021-08-23,מהומות בנגב על רקע נטיעות קקל,0
2021-08-24,מהומות בנגב על רקע נטיעות קקל,5
2021-08-25,מהומות בנגב על רקע נטיעות קקל,2
2021-08-26,מהומות בנגב על רקע נטיעות קקל,2
2021-08-27,מהומות בנגב על רקע נטיעות קקל,6
2021-08-28,מהומות בנגב על רקע נטיעות קקל,4
2021-08-29,מהומות בנגב על רקע נטיעות קקל,10
2021-08-30,מהומות בנגב על רקע נטיעות קקל,2
2021-08-31,מהומות בנגב על רקע נטיעות קקל,1
2021-09-01,מהומות בנגב על רקע נטיעות קקל,0
2021-09-02,מהומות בנגב על רקע נטיעות קקל,0
2021-09-03,מהומות בנגב על רקע נטיעות קקל,2
2021-09-04,מהומות בנגב על רקע נטיעות קקל,4
2021-09-05,מהומות בנגב על רקע נטיעות קקל,1
2021-09-06,מהומות בנגב על רקע נטיעות קקל,4
2021-09-07,מהומות בנגב על רקע נטיעות קקל,1
2021-09-08,מהומות בנגב על רקע נטיעות קקל,5
2021-09-09,מהומות בנגב על רקע נטיעות קקל,2
2021-09-10,מהומות בנגב על רקע נטיעות קקל,7
2021-09-11,מהומות בנגב על רקע נטיעות קקל,4
2021-09-12,מהומות בנגב על רקע נטיעות קקל,2
2021-09-13,מהומות בנגב על רקע נטיעות קקל,1
2021-09-14,מהומות בנגב על רקע נטיעות קקל,2
2021-09-15,מהומות בנגב על רקע נטיעות קקל,0
2021-09-16,מהומות בנגב על רקע נטיעות קקל,2
2021-09-17,מהומות בנגב על רקע נטיעות קקל,4
2021-09-18,מהומות בנגב על רקע נטיעות קקל,0
2021-09-19,מהומות בנגב על רקע נטיעות קקל,5
2021-09-20,מהומות בנגב על רקע נטיעות קקל,5
2021-09-21,מהומות בנגב על רקע נטיעות קקל,7
2021-09-22,מהומות בנגב על רקע נטיעות קקל,1
2021-09-23,מהומות בנגב על רקע נטיעות קקל,2
2021-09-24,מהומות בנגב על רקע נטיעות קקל,8
2021-09-25,מהומות בנגב על רקע נטיעות קקל,1
2021-09-26,מהומות בנגב על רקע נטיעות קקל,3
2021-09-27,מהומות בנגב על רקע נטיעות קקל,2
2021-09-28,מהומות בנגב על רקע נטיעות קקל,1
2021-09-29,מהומות בנגב על רקע נטיעות קקל,7
2021-09-30,מהומות בנגב על רקע נטיעות קקל,0
2021-10-01,מהומות בנגב על רקע נטיעות קקל,1
2021-10-02,מהומות בנגב על רקע נטיעות קקל,1
2021-10-03,מהומות בנגב על רקע נטיעות קקל,1
2021-10-04,מהומות בנגב על רקע נטיעות קקל,1
2021-10-05,מהומות בנגב על רקע נטיעות קקל,4
2021-10-06,מהומות בנגב על רקע נטיעות קקל,2
2021-10-07,מהומות בנגב על רקע נטיעות קקל,1
2021-10-08,מהומות בנגב על רקע נטיעות קקל,8
2021-10-09,מהומות בנגב על רקע נטיעות קקל,1
2021-10-10,מהומות בנגב על רקע נטיעות קקל,1
2021-10-11,מהומות בנגב על רקע נטיעות קקל,5
2021-10-12,מהומות בנגב על רקע נטיעות קקל,2
2021-10-13,מהומות בנגב על רקע נטיעות קקל,1
2021-10-14,מהומות בנגב על רקע נטיעות קקל,1
2021-10-15,מהומות בנגב על רקע נטיעות קקל,2
2021-10-16,מהומות בנגב על רקע נטיעות קקל,1
2021-10-17,מהומות בנגב על רקע נטיעות קקל,1
2021-10-18,מהומות בנגב על רקע נטיעות קקל,1
2021-10-19,מהומות בנגב על רקע נטיעות קקל,0
